date,daily_fees_usd,daily_revenue_usd,daily_volume_usd,tvl_usd,month
2021-12-13,,,,34635903,2021-12
2021-12-14,,,,34380309,2021-12
2021-12-15,,,,34446446,2021-12
2021-12-16,,,,34817010,2021-12
2021-12-17,,,,34731480,2021-12
2021-12-18,,,,34742152,2021-12
2021-12-19,,,,34910345,2021-12
2021-12-20,,,,34404281,2021-12
2021-12-21,,,,34407133,2021-12
2021-12-22,,,,33851390,2021-12
2021-12-23,,,,33827929,2021-12
2021-12-24,,,,33788153,2021-12
2021-12-25,,,,33565851,2021-12
2021-12-26,,,,33372342,2021-12
2021-12-27,,,,33060037,2021-12
2021-12-28,,,,32722947,2021-12
2021-12-29,,,,32665718,2021-12
2021-12-30,,,,34358469,2021-12
2021-12-31,,,,34125935,2021-12
2022-01-01,,,,33833141,2022-01
2022-01-02,,,,33852131,2022-01
2022-01-03,,,,33830968,2022-01
2022-01-04,,,,33588387,2022-01
2022-01-05,,,,33770406,2022-01
2022-01-06,,,,34460801,2022-01
2022-01-07,,,,36005314,2022-01
2022-01-08,,,,35492607,2022-01
2022-01-09,,,,34605724,2022-01
2022-01-10,,,,34969533,2022-01
2022-01-11,,,,34655858,2022-01
2022-01-12,,,,35308604,2022-01
2022-01-13,,,,35977752,2022-01
2022-01-14,,,,35881205,2022-01
2022-01-15,,,,36255934,2022-01
2022-01-16,,,,36338501,2022-01
2022-01-17,,,,35721452,2022-01
2022-01-18,,,,33810880,2022-01
2022-01-19,,,,33748964,2022-01
2022-01-20,,,,33086497,2022-01
2022-01-21,,,,32821950,2022-01
