name,address,tvl_usd,gauge
Curve.fi oBTC/sbtcCRV,0xd81dA8D904b52208541Bade1bD6595D8a251F8dd,7452.408211217358,0x11137b10c210b579405c21a07489e28f3c040ab1
Curve.fi Factory USD Metapool: TrueUSD,0xEcd5e75AFb02eFa118AF914515D6521aaBd189F1,6332.920889565342,0x359fd5d6417ae3d8d6497d9b2e7a890798262ba4
Curve.fi UST/3Crv,0x890f4e345B1dAED0367A877a1612f86A1f86985f,2336.9383864730835,0x3b7020743bc2a4ca9eaf9d0722d42e20d6935855
Curve.fi 4pool USDC/USDT/UST/FRAX,0x4e0915C88bC70750D68C481540F081fEFaF22273,1847.790584899197,0x34883134a39b206a451c2d3b0e7cac44be4d9181
Curve.fi RSV/3Crv,0xC18cC39da8b11dA8c3541C598eE022258F9744da,1756.0409850875633,0x4dc4a289a8e33600d8bd4cf5f6313e43a37adec7
Curve.fi DUSD/3Crv,0x8038C01A0390a8c547446a0b2c18fc9aEFEcc10c,1673.4780981153172,0xaea6c312f4b3e04d752946d329693f7293bc2e6d
Curve.fi pBTC/sbtcCRV,0x7F55DDe206dbAD629C080068923b36fe9D6bDBeF,1004.5286387090525,0xd7d147c6bb90a718c3de8c0568f9b560c79fa416
Curve.fi HUSD/3Crv,0x3eF6A01A0f81D6046290f3e2A8c5b843e738E604,284.534236634926,0x2db0e83599a91b508ac268a6197b8b14f5e72840
Curve.fi 2Pool USDC/USDT,0x1005F7406f32a61BD760CfA14aCCd2737913d546,224.35145301882278,0x9f330db38caaae5b61b410e2f0aad63fff2109d8
Curve.fi Factory Plain Pool: Euro Tether,0xFD5dB7463a3aB53fD211b4af195c5BCCC1A03890,190.91845208066005,0xe8060ad8971450e624d5289a10017dd30f5da85f
Curve.fi DAI/USDC/USDT/sUSD,0xA5407eAE9Ba41422680e2e00537571bcC53efBfD,0.0,0xa90996896660decc6e997655e065b23788857849
Curve.fi yDAI/yUSDC/yUSDT/yTUSD,0x45F783CCE6B7FF23B2ab2D70e416cdb7D6055f51,0.0,0xfa712ee4788c042e2b7bb55e6cb8ec569c4530c1
