chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,pool,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception
Flare,sparkdex-v3.1,WFLR-USDC.E,193070,28.46013,4.50171,32.96185,['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e'],399483c2-f5e6-4144-9032-640435b9f2d5,13.17972,-5.7864,-7.07547,False,yes,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 51, 'binnedConfidence': 1}",,57.24241,0.7627,427,True,"['0x1d80c49bbbcd1c0911346656b529df9e5c2f783d', '0xfbda5f676cb37624f28265a144a48b0d6e87d3b6']",,,37.72043,,,
Gnosis,sparklend,WSTETH,181817,0.00025,,0.00025,,2fe9d5f4-495f-461d-ad63-69778bb2d0d5,0.0,1e-05,6e-05,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 68, 'binnedConfidence': 2}",,0.0017,0.00175,790,False,['0x6C76971f98945AE98dD7d4DFcA8711ebea946eA6'],,,0.00021,,,
Flare,sparkdex-v3.1,WETH-FLRETH,151302,0.12247,,0.12247,,5e3af1e2-79ac-4dad-bc81-d565a8dcefec,0.03879,0.02145,-1.15363,False,no,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 85, 'binnedConfidence': 3}",,11.03787,0.47623,415,False,"['0x1502fa4be69d526124d453619276faccab275d3d', '0x26a1fab310bd080542dc864647d05985360b16a5']",,,0.2375,,,
Flare,sparkdex-v3.1,WFLR-FXRP,136321,5.03474,4.42944,9.46417,['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e'],0f5a8491-ed86-4486-a55a-4617eaaa4776,3.61886,-3.88677,-6.75656,False,yes,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 61, 'binnedConfidence': 2}",,33.86519,0.62223,194,True,"['0x1d80c49bbbcd1c0911346656b529df9e5c2f783d', '0xad552a648c74d49e10027ab8a618a3ad4901c5be']",,,12.80406,,,
Flare,sparkdex-v4,STFLR-SPRK,135988,3.93411,25.37909,29.3132,"['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e', '0x657097cC15fdEc9e383dB8628B57eA4a763F2ba0']",794d5a98-5779-4c84-9948-e366c468a9d3,-0.27067,-1.33756,,False,yes,multi,"{'predictedClass': 'Down', 'predictedProbability': 73, 'binnedConfidence': 3}",,30.8402,0.07334,15,False,"['0x0988c6ba244a90c07a917ebe609eb3264be716ff', '0x657097cc15fdec9e383db8628b57ea4a763f2ba0']",,,30.87432,,,
Flare,sparkdex-v4,USD₮0-CUSDX,132862,0.0,3.59857,3.59857,['0xFE2907DFa8DB6e320cDbF45f0aa888F6135ec4f8'],c37c6a22-6637-4dac-9382-e26910e33be4,0.0,,,False,yes,multi,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",,3.06372,0.07764,6,False,"['0xe7cd86e13ac4309349f30b3435a9d337750fc82d', '0xfe2907dfa8db6e320cdbf45f0aa888f6135ec4f8']",,,3.66251,,,
Flare,sparkdex-v4,WETH-WFLR,123296,9.36175,17.51929,26.88104,"['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e', '0x1d80c49bbbcd1c0911346656b529df9e5c2f783d']",c643e87a-d97f-409b-9505-5fcc25e1f633,6.30513,3.65339,,False,yes,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 51, 'binnedConfidence': 1}",,30.44232,0.36026,15,False,"['0x1502fa4be69d526124d453619276faccab275d3d', '0x1d80c49bbbcd1c0911346656b529df9e5c2f783d']",,,30.58369,,,
Gnosis,sparklend,GNO,98817,0.0,,0.0,,f5d3ea4c-ac83-4d98-a311-d6f955f88cd7,0.0,0.0,0.0,False,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",,0.0,0.0,790,False,['0x9C58BAcC331c9aa871AFD802DB6379a98e80CEdb'],,,0.0,,,
Flare,sparkdex-v3.1,WFLR-USD₮0,96692,9.286,3.63873,12.92473,['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e'],a2ea4ddf-a814-4646-8961-cd60570fbb9f,5.50955,-12.4963,-29.07188,False,yes,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 74, 'binnedConfidence': 3}",,62.38345,0.75857,287,True,"['0x1d80c49bbbcd1c0911346656b529df9e5c2f783d', '0xe7cd86e13ac4309349f30b3435a9d337750fc82d']",,,23.7366,,,
Flare,sparkdex-v4,SPRK-USD₮0,88604,8.02875,34.05913,42.08789,"['0x26d460c3Cf931Fb2014FA436a49e3Af08619810e', '0x657097cC15fdEc9e383dB8628B57eA4a763F2ba0']",0a65e4c1-b0db-4b46-89af-60649f79b223,-6.93382,8.94571,,False,yes,multi,"{'predictedClass': 'Down', 'predictedProbability': 73, 'binnedConfidence': 3}",,38.66853,0.23815,15,True,"['0x657097cc15fdec9e383db8628b57ea4a763f2ba0', '0xe7cd86e13ac4309349f30b3435a9d337750fc82d']",,,38.4715,,,
Flare,sparkdex-v3.1,SFLR-FLRETH,66532,1.21408,,1.21408,,a68ca1b9-9f4e-4b04-8e09-f6eaf0ea2c67,-0.57438,-2.75061,-3.20659,False,yes,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 86, 'binnedConfidence': 3}",,26.03748,0.84644,289,False,"['0x12e605bc104e93b45e1ad99f9e555f659051c2bb', '0x26a1fab310bd080542dc864647d05985360b16a5']",,,3.82476,,,
Flare,sparkdex-v3.1,WETH-USD₮0,54651,19.01698,,19.01698,,305809a9-5f00-4814-8b1b-04da6728974b,14.68125,13.17745,-3.41752,False,yes,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 51, 'binnedConfidence': 1}",,30.63389,0.49221,287,False,"['0x1502fa4be69d526124d453619276faccab275d3d', '0xe7cd86e13ac4309349f30b3435a9d337750fc82d']",,,17.70667,,,
Gnosis,sparklend,EURE,52559,0.05441,,0.05441,,c4086bb6-b7d8-4627-984b-72328aea60eb,0.0,1e-05,-0.12036,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 74, 'binnedConfidence': 3}",,2.95006,0.08217,700,False,['0xcB444e90D8198415266c6a2724b7900fb12FC56E'],,,0.13343,,,
Ethereum,sparklend,SDAI,45061,0.0,,0.0,,0b8fec3b-a715-4803-94ce-9fe3b7520b23,0.0,0.0,0.0,True,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",,0.0,0.0,1028,False,['0x83F20F44975D03b1b09e64809B757c47f942BEeA'],,,0.0,,,
