date,protocol,totalLiquidityUSD
NaT,curve-finance,1107352994.0
NaT,curve-finance,1190333352.0
NaT,curve-finance,1268358315.0
NaT,curve-finance,1313606303.0
NaT,curve-finance,1342216933.0
NaT,curve-finance,1385686349.0
NaT,curve-finance,1304475468.0
NaT,curve-finance,1100345067.0
NaT,curve-finance,1123816970.0
NaT,curve-finance,1230750904.0
NaT,curve-finance,1249931895.0
NaT,curve-finance,1241678025.0
NaT,curve-finance,1180629681.0
NaT,curve-finance,1042601846.0
NaT,curve-finance,1043253527.0
NaT,curve-finance,1078220455.0
NaT,curve-finance,1104983614.0
NaT,curve-finance,1087582506.0
NaT,curve-finance,1055234556.0
NaT,curve-finance,1072627425.0
NaT,curve-finance,1071111249.0
NaT,curve-finance,1075766281.0
NaT,curve-finance,1087656160.0
NaT,curve-finance,1148460171.0
NaT,curve-finance,1063827886.0
NaT,curve-finance,1141915622.0
NaT,curve-finance,1553240721.0
NaT,curve-finance,1627078087.0
NaT,curve-finance,1519384192.0
NaT,curve-finance,1554863230.0
NaT,curve-finance,1580005997.0
NaT,curve-finance,1643315873.0
NaT,curve-finance,1660304271.0
NaT,curve-finance,1720013610.0
NaT,curve-finance,1623229539.0
NaT,curve-finance,1559326779.0
NaT,curve-finance,1574349659.0
NaT,curve-finance,1548216139.0
NaT,curve-finance,1551088637.0
NaT,curve-finance,1537075020.0
NaT,curve-finance,1555321124.0
NaT,curve-finance,1558894336.0
NaT,curve-finance,1556467950.0
NaT,curve-finance,1516704599.0
NaT,curve-finance,1419572386.0
NaT,curve-finance,1461403878.0
NaT,curve-finance,1545882826.0
NaT,curve-finance,1492042052.0
NaT,curve-finance,1491934802.0
NaT,curve-finance,1485931331.0
NaT,curve-finance,1452096701.0
NaT,curve-finance,1364191252.0
NaT,curve-finance,1321363200.0
NaT,curve-finance,1307985202.0
NaT,curve-finance,1301287422.0
NaT,curve-finance,1299910816.0
NaT,curve-finance,1280991264.0
NaT,curve-finance,1278365920.0
NaT,curve-finance,1179555294.0
NaT,curve-finance,1153243209.0
NaT,curve-finance,1141590533.0
NaT,curve-finance,1143114684.0
NaT,curve-finance,1136381812.0
NaT,curve-finance,840535769.0
NaT,curve-finance,919426180.0
NaT,curve-finance,945772662.0
NaT,curve-finance,963440330.0
NaT,curve-finance,962660806.0
NaT,curve-finance,972692627.0
NaT,curve-finance,982733404.0
